name,lat,lon,humidity,temp,temp_max,temp_min,wind mph,clouds
Abancay,-13.6339,-72.8814,71.0,12.0,12.0,12.0,3.6,75.0
Abu Dhabi,24.4667,54.3667,78.0,22.57,23.0,22.0,4.63,0.0
Acapulco de Juárez,16.8634,-99.8901,54.0,28.0,28.0,28.0,2.57,1.0
Adelaide,-34.9333,138.6,49.0,24.53,27.22,21.67,3.09,0.0
Adrar,20.5022,-10.0711,11.0,28.67,28.67,28.67,4.95,73.0
Adré,13.4667,22.2,17.0,25.33,25.33,25.33,1.18,5.0
Afrikanda,67.4429,32.7828,94.0,-13.9,-13.9,-13.9,2.81,94.0
Agüimes,27.9054,-15.4461,72.0,19.82,21.11,18.89,2.57,75.0
Ahipara,-35.1667,173.1667,90.0,16.82,16.82,16.82,3.77,100.0
Airai,-8.9266,125.4092,100.0,16.31,16.31,16.31,0.66,100.0
Aklavik,68.2191,-135.0107,68.0,-34.0,-34.0,-34.0,2.57,0.0
Aksu,41.1231,80.2644,66.0,3.75,3.75,3.75,2.65,100.0
Aktobe,50.2797,57.2072,79.0,-10.0,-10.0,-10.0,5.0,90.0
Akureyri,65.6835,-18.0878,93.0,-7.0,-7.0,-7.0,1.03,75.0
Alappuzha,9.49,76.3264,67.0,25.76,25.76,25.76,0.92,88.0
Albany,42.6001,-73.9662,48.0,-3.29,-2.78,-3.89,2.24,33.0
Albina,5.5,-54.05,56.0,29.22,29.22,29.22,2.75,100.0
Aleksandro-Nevskiy,53.4751,40.2095,79.0,-12.22,-12.22,-12.22,3.85,100.0
Aleksandrovskoye,44.7142,43.0008,58.0,11.84,12.0,11.67,6.0,17.0
Alenquer,-1.9417,-54.7383,100.0,24.0,24.0,24.0,3.6,90.0
Alexandria,31.2156,29.9553,49.0,20.0,20.0,20.0,2.57,0.0
Alice Springs,-23.7,133.8833,58.0,30.32,30.56,30.0,3.09,7.0
Aljezur,37.3191,-8.8033,100.0,15.56,15.56,15.56,2.68,100.0
Altay,47.8667,88.1167,73.0,-16.35,-16.35,-16.35,1.46,20.0
Alyangula,-13.8483,136.4192,89.0,28.0,28.0,28.0,2.57,40.0
Ambon City,-3.6954,128.1814,77.0,27.66,27.66,27.66,1.85,100.0
Ampanihy,-24.7,44.75,91.0,21.62,21.62,21.62,4.58,100.0
Anadyr,64.75,177.4833,70.0,-25.0,-25.0,-25.0,2.0,0.0
Ancud,-41.8697,-73.8203,44.0,26.95,27.78,26.0,2.57,0.0
Andapa,-14.65,49.65,91.0,22.32,22.32,22.32,0.93,100.0
Andenes,69.3143,16.1194,74.0,-1.0,-1.0,-1.0,8.75,75.0
Angoche,-16.2325,39.9086,77.0,28.0,28.0,28.0,2.79,98.0
Ankara,39.9199,32.8543,61.0,9.96,11.0,9.0,2.57,40.0
Aquiraz,-3.9014,-38.3911,66.0,31.0,31.0,31.0,7.2,40.0
Ararat,39.8317,44.7049,61.0,8.0,8.0,8.0,1.03,100.0
Ardmore,34.1743,-97.1436,93.0,-4.03,-3.33,-4.44,3.6,90.0
Aripuanã,-9.1667,-60.6333,84.0,26.4,26.4,26.4,1.2,98.0
Arlit,18.7369,7.3853,8.0,33.04,33.04,33.04,2.28,18.0
Arman',59.7,150.1667,90.0,-8.52,-8.52,-8.52,6.09,89.0
Arraial do Cabo,-22.9661,-42.0278,69.0,27.86,29.0,27.0,5.66,40.0
Arrondissement de Bastia,42.6667,9.3333,58.0,14.55,16.11,12.78,6.17,0.0
Assiut,27.181,31.1837,35.0,23.0,23.0,23.0,4.63,0.0
Astoria,46.1879,-123.8313,93.0,0.68,1.11,0.0,2.38,90.0
Asău,46.4333,26.4,62.0,5.56,5.56,5.56,0.69,100.0
Atasū,48.6814,71.6433,84.0,-23.96,-23.96,-23.96,2.35,24.0
Athabasca,54.7169,-113.2854,69.0,-30.0,-30.0,-30.0,3.6,100.0
Atkarsk,51.8718,45.0078,94.0,-14.07,-14.07,-14.07,4.25,100.0
Atuona,-9.8,-139.0333,77.0,26.04,26.04,26.04,8.63,8.0
Avarua,-21.2078,-159.775,83.0,26.0,26.0,26.0,2.06,20.0
Avera,33.194,-82.5271,88.0,17.99,19.0,17.0,3.09,75.0
Ayagoz,47.9714,80.4392,92.0,-19.42,-19.42,-19.42,2.49,99.0
Aykhal,66.0,111.5,86.0,-28.37,-28.37,-28.37,2.61,98.0
Azle,32.8951,-97.5459,93.0,-2.0,-1.67,-2.78,4.63,90.0
Bafra,41.5678,35.9069,80.0,12.22,12.22,12.22,0.89,74.0
Bagar,28.1874,75.5005,29.0,17.56,17.56,17.56,1.57,0.0
Bagnes,46.0833,7.2167,76.0,5.26,7.0,1.67,3.09,75.0
Baharly,38.4362,57.4316,48.0,13.09,13.09,13.09,1.21,0.0
Bairiki Village,1.3292,172.9752,83.0,26.0,26.0,26.0,4.12,40.0
Bajil,15.0584,43.2851,59.0,26.29,26.29,26.29,1.85,65.0
Ballina,-28.8667,153.5667,94.0,18.64,19.0,17.78,2.06,75.0
